GEOID,FP_nearest,FP_tt,FP_tt_3
36081066701,85535,13.94,21.26
36081067100,85535,2.99,11.51
36081067700,85535,13.13,18.04
36081067900,85165,10.44,12.68
36081068200,85448,6.96,10.7
36081068300,85165,6.02,8.81
36081069300,85107,5.74,8.54
36081069500,85165,8.44,12.35
36081069701,85107,5.73,8.42
36081069702,85107,11.93,12.56
36081070300,84603,11.62,16.99
36081070700,84603,10.6,17.24
36081070900,84603,5.05,11.81
36081071303,DSNY-BRS-1033,4.85,6.25
36081071304,84207,1.91,5.31
36081071305,84603,3.8,6.32
36081071701,85107,1.56,5.24
36081071900,85107,6.13,6.51
36081072100,84207,5.07,6.42
36081072300,84603,9.17,15.51
36081072900,84603,13.06,19.87
36081073700,84603,10.68,13.25
36081073900,DSNY-BRS-1033,7.55,10.14
36081074100,DSNY-BRS-1033,0.24,6.9
36081074300,87233,6.0,7.23
36081074500,87233,0.83,8.7
36081074700,DSNY-BRS-1033,6.52,9.18
36081075701,80957,6.72,14.96
36081075702,DSNY-BRS-1033,9.6,13.58
36081077902,85467,4.53,13.14
36081077903,85467,7.56,11.17
36081077904,84205,2.97,6.02
36081077905,80997,4.42,6.97
36081077906,85467,7.95,9.84
36081077907,85467,3.03,8.71
36081077908,84205,7.25,8.87
36081078800,84768,2.83,5.9
36081079000,Plentiful-1441,1.3,4.29
36081079200,Plentiful-1441,4.71,6.21
36081079300,85467,18.3,19.6
36081079701,85457,3.84,6.23
36081079702,80996,9.8,11.37
36081079900,85457,12.72,15.0
36081080301,85457,17.6,19.61
36081080302,85520,13.49,16.81
36081081400,83351,5.37,8.46
36081081800,83351,7.98,12.94
36081083700,85520,12.63,13.95
36081083800,81001,18.34,20.04
36081084000,81001,15.26,17.1
36081084500,85457,6.74,8.66
36081084601,80942,15.37,21.5
36081084602,83351,19.28,22.47
36081084901,80996,11.64,13.98
36081084902,80996,6.66,9.76
36081085700,85457,3.98,4.41
36081085900,85457,1.27,2.8
36081086100,85436,2.09,3.65
36081086400,85163,12.43,17.5
36081086500,85511,4.45,6.77
36081086900,85511,6.05,9.06
36081087100,85511,8.73,11.7
36081088902,FPC-508,2.92,8.27
36081088903,FPC-508,9.38,17.3
36081089202,80942,24.63,30.17
36081091602,85234,53.27,74.48
36081091603,85234,34.24,52.12
36081091604,85234,39.32,52.08
36081091800,85234,69.88,81.27
36081092200,83379,61.28,83.14
36081092500,FPC-507,4.12,11.81
36081092800,83379,52.5,80.51
36081092900,FPC-678,2.75,15.35
36081093401,83379,43.93,64.82
36081093402,83379,36.58,57.5
36081093800,83379,24.23,45.14
36081094203,83379,0.57,21.37
36081094500,FPC-507,14.76,20.43
36081094700,FPC-507,2.51,12.3
36081097204,82054,2.47,5.17
36081097205,85485,1.28,6.65
36081097206,82034,3.61,7.9
36081097207,85485,11.31,13.65
36081099703,FPC-511,45.49,48.0
36081099704,85053,40.05,44.66
36081099801,82743,5.76,8.76
36081099802,82743,4.6,12.55
36081099900,85053,54.91,56.68
36081100801,87274,14.02,17.7
36081100803,81150,6.55,6.96
36081100804,82743,12.06,14.21
36081101002,FPC-496,12.32,12.92
36081101003,81150,2.8,3.75
36081101004,81150,10.12,11.13
36081103300,84267,26.04,30.21
36081103900,FPC-508,24.52,29.88
36081104700,FPC-508,13.83,17.75
36081105900,84267,18.91,22.93
36081108500,85053,23.41,31.31
36081109300,FPC-511,34.44,39.65
36081109700,85053,30.59,34.8
36081109900,85053,20.2,29.81
36081113300,85053,20.51,28.81
36081113900,85053,13.15,23.73
36081114100,85053,15.38,22.06
36081114700,85053,13.81,17.84
36081115100,84267,11.64,16.02
36081115500,84267,9.08,14.68
36081115700,84267,9.02,14.4
36081115900,85511,11.06,12.16
36081116100,85511,5.19,8.38
36081116301,85436,8.8,9.96
36081117100,85053,8.26,11.22
36081117500,85053,5.5,16.49
36081118100,85053,14.34,26.05
36081118500,85053,4.18,10.57
36081118700,84267,3.14,6.72
36081118900,84267,7.29,7.56
36081119100,85053,7.96,10.73
36081119300,85053,2.8,13.53
36081119500,85053,6.22,15.4
36081119900,84267,10.71,11.96
36081120100,84607,5.95,7.84
36081120300,84607,11.33,13.26
36081120500,84607,5.52,7.52
36081120701,85053,14.02,18.57
36081120702,85053,10.48,18.03
36081121100,85520,16.8,18.83
36081121500,85520,11.4,16.54
36081122300,85484,16.73,19.46
36081122703,85484,8.37,13.19
36081122704,85484,10.66,12.76
36081124100,83696,11.43,12.99
36081124700,83696,15.6,18.64
36081126500,83696,2.02,5.95
36081129102,80880,18.7,21.48
36081129104,FPC-511,26.76,27.82
36081130100,83874,16.11,19.65
36081133900,83696,20.71,27.36
36081134100,83696,26.02,26.87
36081134701,FPC-694,33.89,34.83
36081134702,FPC-694,31.64,35.91
36081136700,FPC-511,17.26,30.82
36081137700,FPC-511,14.36,31.15
36081138501,FPC-511,2.12,35.58
36081140300,FPC-511,18.25,35.56
36081140901,FPC-511,24.51,33.38
36081140902,85053,29.05,34.64
36081141700,85053,23.08,27.01
36081142900,85053,21.11,29.54
36081144100,FPC-511,8.19,34.54
36081144700,FPC-511,18.0,35.22
36081145101,85053,18.26,27.62
36081145102,FPC-511,24.49,30.49
36081145900,85053,11.64,22.62
36081146300,85053,21.36,28.42
36081146700,FPC-511,20.54,31.77
36081147100,FPC-511,11.76,38.69
36081147900,FPC-511,26.97,56.33
36081150701,FPC-511,21.32,46.81
36081150702,FPC-511,33.04,55.16
36081152902,FPC-511,36.92,50.66
36081155101,83874,47.42,54.58
36081155103,83874,46.94,49.99
36081155104,83874,50.13,52.79
36081157902,83874,38.96,41.31
36005036100,81435,5.12,7.98
36005012701,83465,4.46,5.33
36005015900,82293,5.26,6.27
36005020502,FPC-11,6.29,11.21
36005039902,DSNY-BRS-1357,4.54,5.25
36005000400,FPC-349,11.17,15.51
36081093900,FPC-507,10.92,19.31
36005042600,FPC-674,4.14,8.94
36061003800,DSNY-BRS-1058,5.29,6.03
36061001001,85193,6.25,7.51
36061001502,85345,7.63,11.39
36061004800,FPC-252,1.61,6.61
36061004400,81685,5.94,7.61
36061006400,84055,4.74,5.18
36061022900,Plentiful-1365,1.73,4.26
36061017800,81980,3.45,4.04
36061000500,82188,16.23,17.65
36061031900,FPC-528,4.01,7.03
36081008700,85350,2.01,9.01
36081071600,85288,32.97,33.6
36081094201,83379,12.7,33.54
36081094202,83379,5.83,21.79
36081111300,FPC-511,19.01,44.52
36081148300,FPC-511,29.14,56.04
36081080900,85520,9.06,10.89
36081122702,85484,3.24,8.52
36081125700,84205,6.14,7.65
36081126700,83696,6.76,11.97
36081139900,FPC-511,10.68,34.15
36081143500,FPC-511,15.91,33.66
36081157901,82976,48.19,50.35
36081157903,82976,35.94,37.67
36081042400,85238,8.17,9.75
36081043400,85238,2.34,3.79
36081042600,84887,5.95,7.23
36081043200,FPC-690,4.19,5.9
36081045200,80904,7.13,8.26
36081045400,80904,6.08,7.53
36081005900,80971,8.34,11.04
36081006100,80971,8.54,10.38
36081058100,DSNY-BRS-1011,1.92,3.31
36081058300,FPC-499,1.86,2.26
36061023501,85358,2.79,3.17
36081047900,85024,3.58,10.19
36081062400,85264,13.88,15.08
36081062000,85264,10.3,12.83
36081063000,85264,7.65,9.36
36005019300,DSNY-BRS-1346,5.08,5.98
36061021900,80519,4.98,6.5
36061022302,80519,7.67,10.02
36081133300,FPC-694,23.8,29.03
36061012400,80522,2.81,3.74
36005021200,FPC-670,2.81,3.61
36005022200,FPC-670,2.56,6.16
36081065501,84603,19.52,22.54
36061027900,80618,4.14,7.82
36061028300,85357,8.49,9.58
36061028500,85357,4.65,7.61
36061014401,FPC-170,5.06,7.79
36061001600,FPC-374,0.43,3.22
36081037100,83623,7.09,9.89
36005008900,85472,4.64,6.15
36061001200,84743,1.35,2.73
36081112300,FPC-511,22.98,34.73
36081112900,FPC-511,27.08,31.86
36005042901,85480,3.83,6.2
36005043102,85339,4.55,7.39
36081026300,84884,6.07,9.53
36081013600,80957,11.82,13.37
36081005400,FPC-695,2.74,8.69
36081008600,85163,9.0,10.91
36081066401,85448,34.84,37.21
36081066404,85448,24.17,27.29
36081066900,85535,7.27,17.11
36081030600,85288,6.73,12.11
36081048500,85024,5.47,9.0
36081012500,85244,12.93,16.61
36005038900,DSNY-BRS-2184,4.7,5.46
36005029301,Plentiful-1361,15.07,16.69
36005029302,Plentiful-1361,8.01,10.8
36081013000,84132,4.77,7.48
36081073100,84603,16.33,18.73
36081074900,80957,8.7,16.57
36005042500,85225,1.91,2.41
36081026502,84504,8.19,8.72
36081026501,FPC-603,6.05,7.95
36081048301,FPC-603,6.02,7.32
36005002800,85317,7.01,10.17
36005005200,85317,4.53,8.53
36081066100,85535,12.38,20.82
36081065900,85535,15.38,20.83
36081066501,85535,12.53,21.71
36005020000,85494,1.09,6.79
36005025600,85494,4.87,10.49
36081102900,84267,33.31,34.79
36081097300,FPC-507,28.13,32.63
36081098100,85081,39.94,41.26
36081060100,FPC-686,14.03,17.06
36081063302,85243,22.73,23.7
36081063500,85243,20.01,27.53
36081062100,85535,24.82,28.57
36081063700,85243,22.94,25.9
36081077500,80957,7.34,13.84
36005039700,80121,5.45,5.75
36005039300,DSNY-BRS-2184,0.43,1.93
36005029700,FPC-671,10.92,13.24
36081063900,85243,18.89,22.62
36081064102,84936,17.3,19.02
36081046300,83697,4.81,9.43
36081047100,83697,3.91,8.13
36005035000,81315,4.32,7.01
36005035800,85455,4.25,5.89
36081077300,80957,5.7,15.27
36081024900,84884,3.27,12.34
36081026100,84884,4.13,11.08
36061021000,80764,4.73,4.95
36061021200,83883,1.82,2.29
36005027600,FPC-666,10.12,18.26
36061015502,81119,6.06,6.32
36081010701,85244,33.27,34.99
36081012301,83361,23.02,25.24
36005037800,Plentiful-1430,3.91,4.19
36081085300,80996,3.08,7.13
36005026900,DSNY-BRS-1358,8.01,9.99
36081161700,82976,22.65,24.35
36081035700,83623,10.03,12.27
36005009301,DSNY-BRS-1354,3.49,4.05
36005023501,84841,4.19,4.74
36005023502,84841,5.28,5.5
36081099701,85053,34.36,39.83
36081101700,85053,30.77,33.86
36005023702,81348,2.55,3.75
36005039901,DSNY-BRS-1357,3.9,7.07
36005023703,85300,1.25,2.2
36005040100,81348,4.63,7.59
36005016900,80081,1.86,5.39
36081085500,80996,2.84,5.62
36081086300,85436,4.95,7.44
36061030700,80581,6.01,8.83
36005014702,80081,2.73,4.93
36081028803,83270,10.77,13.35
36081029400,85288,3.79,9.92
36005014300,84129,4.32,5.4
36005018501,84953,3.57,4.43
36081004401,FPC-99,10.13,11.81
36081005800,FPC-695,10.16,14.82
36061020101,81123,2.02,3.51
36061020300,85475,3.71,4.6
36081116302,84267,5.27,8.02
36081116700,84267,0.74,7.79
36081090700,FPC-508,9.72,15.07
36081091900,FPC-507,11.78,15.0
36081000103,85367,10.81,13.69
36081029700,80891,3.4,10.38
36061018500,FPC-482,4.05,5.61
36081022900,84105,12.04,17.05
36081051500,84504,13.87,20.44
36081000102,85367,14.65,18.2
36061023804,FPC-168,13.58,16.38
36061018900,FPC-77,3.95,5.09
36061019100,Plentiful-431,4.69,5.5
36081030906,80891,6.41,8.79
36081098700,FPC-715,41.29,43.77
36061013700,DSNY-BRS-1461,6.2,7.33
36061013900,82022,4.09,4.95
36061014500,85548,1.35,3.63
36061027700,85458,8.23,9.78
36081010600,83578,3.15,9.86
36081016600,83578,8.72,11.41
36061001002,85450,4.54,5.23
36005003300,80159,4.97,6.5
36081056000,83874,3.74,7.76
36081162100,83874,11.19,14.21
36081097202,82054,3.86,7.4
36081099200,82743,6.57,10.75
36081045800,85323,11.8,12.55
36081046200,85323,3.63,6.81
36081046600,85323,10.5,13.36
36061022700,80541,2.06,3.83
36061025900,80541,4.44,5.52
36061006000,DSNY-BRS-2114,4.76,6.82
36005001901,80721,9.46,10.61
36081015500,80971,3.48,9.39
36081015900,80971,3.28,11.19
36061002000,85450,2.84,3.52
36005009000,81145,7.29,12.07
36005009800,85507,3.91,7.85
36081000101,FPC-545,14.22,17.31
36081107201,83379,29.51,40.06
36081107202,83379,45.0,46.93
36005020100,85056,2.32,4.18
36005020501,FPC-11,1.51,6.26
36061007900,FPC-566,7.32,8.85
36061009901,FPC-566,7.15,7.89
36061014601,FPC-170,3.39,5.2
36061014602,FPC-170,1.78,4.06
36061014802,81139,3.87,4.15
36061026100,81608,4.04,5.47
36061025300,84068,3.43,5.9
36061026300,84068,3.18,3.96
36061019800,81353,2.88,3.11
36061019000,FPC-567,3.26,3.89
36061020000,85156,1.7,3.02
36061027300,80618,3.23,5.79
36061027500,80618,6.68,8.45
36061000700,85345,5.86,8.03
36061000900,FPC-528,3.89,7.87
36061003001,FPC-628,2.83,3.1
36061005900,87290,3.05,3.82
36061006100,FPC-559,1.61,3.02
36061005000,FPC-252,3.63,4.38
36061008603,FPC-168,9.49,10.59
36061010601,FPC-168,7.15,9.33
36061012800,85524,4.27,5.72
36061004700,82998,3.96,5.93
36061004900,81458,3.65,6.03
36061013203,80522,3.64,4.29
36061013400,80800,2.36,3.85
36061011000,FPC-168,2.37,6.62
36061013800,80800,3.19,5.02
36061014000,FPC-531,0.8,3.6
36061013603,80800,5.33,6.81
36061013604,FPC-170,6.55,8.78
36061014402,FPC-170,5.61,8.99
36061014200,FPC-531,4.61,5.52
36061002202,FPC-547,3.15,3.64
36061003002,85291,0.59,2.25
36061018200,FPC-607,0.75,3.89
36061018800,84245,2.04,2.69
36061017900,81249,3.39,4.39
36061018300,81546,4.02,4.61
36061016800,DSNY-BRS-1521,2.81,4.92
36081045500,83290,1.78,5.33
36081071702,83290,4.4,6.59
36005006700,82750,2.95,3.6
36005006900,FPC-530,1.89,3.66
36005003100,FPC-422,8.83,9.75
36005038304,81637,2.81,4.31
36005036502,80065,2.13,3.83
36005036700,80065,3.47,5.33
36005002001,82252,5.92,10.88
36005002400,82252,9.52,12.78
36005007700,FPC-578,0.95,1.46
36061023000,80745,1.4,2.44
36061023200,80745,3.38,4.73
36005043502,83333,12.44,12.82
36005043503,FPC-665,23.15,27.26
36005022401,FPC-662,2.78,2.83
36005023000,83397,5.23,5.67
36081095400,83379,14.74,17.13
36081096400,85485,9.86,13.86
36061020901,FPC-714,2.4,3.17
36061025700,FPC-287,2.6,5.24
36061019701,81123,1.18,2.85
36061020102,80474,2.46,3.04
36005015500,85283,4.03,5.41
36005038500,85108,2.26,2.74
36005039500,82851,1.54,2.33
36005028300,FPC-676,4.66,6.64
36005028500,FPC-665,5.45,10.91
36061006600,DSNY-BRS-2114,4.18,4.95
36061005600,84055,5.01,6.16
36061007400,82798,3.28,4.73
36081009100,85350,6.22,11.16
36061015200,FPC-170,6.06,9.56
36081033100,FPC-606,15.84,19.6
36081076901,80957,6.8,15.01
36081076902,80957,2.35,15.71
36081029900,80891,11.41,12.48
36081031700,83361,13.58,17.23
36061002500,FPC-622,9.53,9.94
36005027401,FPC-666,23.78,24.9
36005027402,FPC-666,23.71,26.62
36081071100,84603,0.81,7.17
36081071306,84207,2.83,6.16
36061016700,DSNY-BRS-1071,3.87,4.76
36081059200,85314,13.17,16.05
36081062200,85314,2.29,14.98
36081000104,85367,10.3,12.53
36081063800,85022,3.45,10.02
36081129103,80880,26.06,27.17
36061023300,Plentiful-1365,2.92,4.36
36061023700,FPC-276,3.81,4.81
36005041400,85327,9.06,12.08
36005041800,84883,6.44,8.24
36081053501,FPC-686,18.57,23.3
36081052500,FPC-686,19.73,23.56
36081059502,FPC-686,14.99,20.01
36005016500,80026,1.58,2.96
36005016700,80026,2.87,4.05
36081002500,87007,4.72,7.97
36061021400,85508,2.37,3.79
36061023600,81612,2.39,7.53
36005041100,85433,6.99,8.09
36005041300,85433,5.09,6.76
36005030202,FPC-666,18.85,23.54
36005046205,85307,16.92,18.08
36081156700,83874,27.37,30.7
36081157101,83874,29.87,32.53
36081157102,83874,22.04,24.94
36005043501,83333,6.3,7.1
36005045101,83678,12.71,13.18
36005028400,85503,5.31,10.36
36081000701,85367,12.45,17.38
36081001901,85367,4.94,9.21
36061012902,81507,6.86,8.4
36061013501,84270,3.92,6.82
36061013502,84270,3.01,4.13
36005014500,85370,1.55,2.64
36005014701,85298,2.76,4.62
36081001903,85367,5.08,8.09
36081003301,FPC-284,0.77,3.09
36061011500,FPC-548,0.88,2.18
36081008800,80942,15.1,16.69
36081006202,85378,15.8,18.62
36061015900,81119,1.72,1.92
36061016300,DSNY-BRS-1071,2.72,3.95
36085000300,85449,3.57,6.82
36085000600,Plentiful-1345,16.55,18.5
36085000700,Plentiful-1396,1.57,3.45
36085000800,Plentiful-1345,16.33,17.32
36085000900,Plentiful-1396,4.62,5.84
36085001100,83522,3.22,5.31
36085001700,83522,4.98,5.93
36085002001,84301,16.5,17.15
36085002100,85437,1.56,2.8
36085002700,82139,2.62,3.18
36085002900,FPC-609,2.68,3.25
36085003300,85068,3.83,7.08
36085003600,84802,8.57,11.09
36085003900,85068,11.31,14.24
36085004001,Plentiful-1345,4.3,5.38
36085004002,84802,3.96,7.04
36085004003,84802,1.93,5.17
36085004004,84802,9.12,9.88
36085004700,81559,14.11,14.39
36085005000,FPC-710,6.88,10.19
36085005902,83656,10.08,12.8
36085006400,FPC-619,3.45,3.76
36085006700,FPC-33,8.27,13.81
36085007001,FPC-613,5.9,8.36
36085007002,FPC-619,10.9,11.81
36085007400,84301,12.19,13.23
36085008100,FPC-610,7.9,9.54
36085009601,FPC-710,11.73,12.12
36085009602,FPC-611,7.52,11.29
36085009701,FPC-33,9.92,10.36
36085009702,FPC-33,13.2,16.76
36085010500,FPC-33,4.06,6.83
36085011201,FPC-612,9.11,10.39
36085011203,FPC-618,2.37,13.66
36085011401,FPC-611,4.01,12.23
36085011402,FPC-611,11.22,16.12
36085012100,FPC-33,10.9,13.81
36085012200,FPC-611,18.4,21.36
36085012805,FPC-617,23.27,38.07
36085012806,FPC-617,12.5,27.76
36085013301,85361,0.97,3.94
36085013302,FPC-620,5.84,6.57
36085013400,FPC-617,22.91,27.1
36085014607,85486,25.79,57.96
36085014608,85486,28.08,55.43
36085015100,81260,12.16,17.03
36085015400,85486,37.21,44.53
36085015601,85486,7.5,53.5
36085015602,85486,5.71,48.7
36085015603,85486,14.71,55.79
36085016901,81559,22.27,24.14
36085017005,85486,23.09,44.77
36085017007,85486,41.57,60.11
36085017009,81028,33.13,44.65
36085017011,85486,14.05,55.23
36085017012,85486,24.45,56.48
36085017013,81028,43.08,53.33
36085017014,81028,38.36,48.37
36085017015,85486,30.07,53.11
36085017300,83197,17.86,25.91
36085017600,85486,22.87,45.2
36085017701,81559,14.84,17.6
36085017702,81559,11.3,12.71
36085018100,83197,10.67,23.17
36085018701,FPC-381,16.05,21.3
36085018703,83197,12.84,22.11
36085018704,83197,14.36,23.85
36085018901,FPC-381,1.66,13.51
36085018902,FPC-381,10.54,16.22
36085019700,FPC-381,10.54,15.88
36085020100,81260,4.01,9.96
36085020701,FPC-27,6.32,6.45
36085020702,85454,2.93,3.53
36085020804,81028,20.61,38.19
36085020805,81028,29.89,49.46
36085020806,81028,34.09,48.99
36085022300,83521,6.63,10.11
36085022601,81028,9.32,26.76
36085022602,81028,25.95,35.18
36085022801,81028,59.22,66.33
36085023100,FPC-621,4.82,6.84
36085023900,83521,12.59,13.88
36085024401,FPC-616,6.57,9.04
36085024402,FPC-616,10.47,14.7
36085024800,FPC-616,8.67,10.29
36085025100,FPC-381,10.67,14.94
36085027301,85366,13.44,17.7
36085027302,83197,13.9,21.21
36085027702,85366,43.95,47.63
36085027704,85366,31.54,34.98
36085027705,85366,30.6,34.35
36085027706,85366,28.01,32.02
36085027900,83197,39.06,47.66
36085029102,FPC-711,35.06,42.03
36085029104,FPC-711,6.45,15.53
36085029105,FPC-711,16.02,25.55
36085030301,FPC-711,12.33,15.63
36085030302,FPC-621,11.93,13.79
36085031901,85352,3.74,3.86
36085031902,85380,2.32,6.22
36085032300,FPC-615,15.35,16.49
36085990100,FPC-382,38.2,38.94
36047000100,85119,4.71,8.04
36047000200,FPC-500,5.18,6.7
36047000301,85119,4.24,5.98
36047000501,85119,2.13,3.39
36047000502,FPC-486,0.66,2.42
36047000700,FPC-486,5.97,6.75
36047000900,80373,1.66,3.25
36047001100,85340,1.28,3.68
36047001501,FPC-718,4.3,8.07
36047001502,85340,5.44,7.46
36047001801,FPC-215,18.08,19.48
36047001802,80413,11.37,12.42
36047001803,FPC-457,7.61,10.19
36047001804,FPC-629,11.08,12.62
36047002000,FPC-457,2.69,5.27
36047002200,FPC-457,7.18,8.82
36047002300,FPC-718,1.19,8.42
36047002901,FPC-718,7.91,11.63
36047003000,FPC-629,7.62,9.46
36047003101,80204,7.68,9.46
36047003102,FPC-205,9.19,9.51
36047003300,80204,3.86,5.17
36047003400,80341,12.81,13.94
36047003500,FPC-205,1.2,2.8
36047003600,80341,6.21,9.02
36047003700,FPC-608,5.46,6.09
36047003800,80341,11.15,14.26
36047003900,FPC-209,1.41,2.66
36047004100,FPC-209,4.69,5.71
36047004300,FPC-608,2.8,5.59
36047004400,80341,11.37,15.51
36047004500,80373,7.15,8.39
36047004600,80341,14.09,18.62
36047004700,81698,9.82,12.0
36047004900,81698,10.35,10.86
36047005000,80341,17.9,22.46
36047005201,80341,21.17,25.7
36047005202,80341,24.33,28.83
36047005301,82188,3.62,9.83
36047005302,FPC-215,8.9,13.26
36047005303,82188,6.91,9.03
36047005400,80341,25.37,29.7
36047005601,80341,28.17,32.47
36047005602,80341,31.23,35.42
36047005800,80341,21.07,25.26
36047006000,80341,16.68,20.97
36047006200,80341,12.32,16.67
36047006400,80341,6.16,10.67
36047006500,81698,6.36,9.82
36047006600,80341,1.66,6.24
36047006700,81698,7.85,11.47
36047006800,80341,3.88,4.82
36047006901,FPC-608,6.08,8.64
36047006902,FPC-608,8.71,11.2
36047007000,FPC-629,2.62,5.85
36047007100,FPC-209,6.1,8.44
36047007200,FPC-629,5.69,6.65
36047007400,84722,4.24,6.0
36047007600,FPC-457,3.87,5.46
36047007800,80357,3.78,4.65
36047008000,FPC-500,3.73,5.41
36047008200,FPC-656,2.98,4.19
36047008400,80413,2.82,6.05
36047008500,FPC-215,2.22,6.92
36047008600,FPC-656,4.69,6.42
36047008800,FPC-656,4.24,7.03
36047009001,81699,8.12,8.73
36047009002,81699,6.18,10.19
36047009201,81699,6.18,8.45
36047009202,81699,3.3,9.51
36047009401,81699,6.16,8.41
36047009402,81699,3.28,9.28
36047009600,80357,5.05,7.13
36047009800,80357,2.35,8.05
36047010000,80357,4.61,6.04
36047010200,85498,2.75,4.14
36047010401,85498,5.29,6.26
36047010402,85289,7.9,8.75
36047010601,80357,8.13,8.55
36047010602,80357,10.42,10.69
36047010801,80357,7.08,9.71
36047010802,81699,6.64,10.91
36047011000,81699,5.99,13.37
36047011200,81699,1.94,12.1
36047011400,81699,5.04,12.54
36047011600,81699,11.91,12.04
36047011800,85289,3.03,5.11
36047011901,80236,5.42,9.82
36047011902,FPC-215,11.84,13.92
36047012000,85289,4.2,7.43
36047012100,FPC-634,8.57,13.05
36047012200,84722,3.17,4.41
36047012600,FPC-653,2.21,4.27
36047012700,FPC-209,4.17,5.62
36047012801,85289,6.17,8.87
36047012901,83348,3.74,4.93
36047012902,83348,2.07,3.94
36047013000,FPC-653,3.18,5.01
36047013100,81459,3.61,3.9
36047013200,85289,10.42,12.11
36047013300,80236,4.96,7.0
36047013400,FPC-653,7.73,8.97
36047013500,FPC-634,4.89,8.12
36047013600,80341,9.29,11.92
36047013700,FPC-634,2.08,9.87
36047013800,80341,12.23,15.77
36047013900,FPC-634,4.53,13.43
36047014000,80341,18.9,20.48
36047014101,FPC-634,7.48,16.49
36047014200,80341,15.45,18.3
36047014700,FPC-634,15.75,19.34
36047014800,81586,14.35,23.17
36047014901,FPC-634,8.37,17.65
36047014902,FPC-634,11.63,21.0
36047015000,81586,11.48,21.89
36047015100,FPC-634,5.87,14.88
36047015200,80341,26.8,30.05
36047015300,FPC-634,4.26,11.86
36047015400,81586,20.92,29.53
36047015500,FPC-634,6.12,10.2
36047015700,81459,7.99,9.18
36047015900,81459,6.2,9.4
36047016000,80341,20.11,23.73
36047016100,83348,3.91,5.21
36047016200,80341,29.2,33.13
36047016300,81459,7.41,7.99
36047016400,80341,31.61,35.95
36047016500,81459,11.05,12.82
36047016600,81586,18.83,22.42
36047016700,FPC-634,9.63,17.33
36047016800,81586,21.68,24.27
36047016900,FPC-634,15.44,22.04
36047017000,81586,14.58,21.62
36047017200,81586,13.23,19.06
36047017400,81586,16.93,20.19
36047017500,81699,16.29,16.46
36047017600,83619,13.69,17.89
36047017800,81586,11.35,13.88
36047017900,80289,3.49,5.59
36047018000,81586,11.12,16.05
36047018100,80289,4.92,6.86
36047018200,81586,3.18,14.2
36047018300,80289,9.37,10.2
36047018400,81586,7.26,18.45
36047018501,FPC-718,11.61,13.57
36047018600,81586,5.52,19.23
36047018700,85528,9.0,13.25
36047018800,81586,5.64,19.31
36047019000,81586,10.43,21.39
36047019100,85528,4.49,8.62
36047019200,81699,19.62,20.67
36047019300,85528,1.7,3.67
36047019400,81586,17.54,20.84
36047019500,85528,4.99,8.2
36047019600,81586,14.49,19.54
36047019700,85069,5.61,6.88
36047019800,81586,10.36,21.05
36047019900,85069,1.54,5.71
36047020000,81586,13.47,20.35
36047020100,85069,2.59,4.68
36047020200,81586,16.6,19.76
36047020300,84019,4.81,7.3
36047020400,85289,17.16,19.06
36047020500,84019,8.08,8.47
36047020600,85289,14.93,16.53
36047020700,82119,7.12,8.77
36047020800,85289,14.14,16.68
36047021000,85289,12.74,16.01
36047021100,85528,12.03,14.38
36047021200,85289,12.35,15.19
36047021300,81748,4.57,5.28
36047021400,85289,13.29,15.29
36047021500,82119,2.74,6.32
36047021600,81699,14.65,16.26
36047021700,80403,1.93,3.9
36047021800,81699,12.11,16.95
36047021900,82044,4.64,6.29
36047022000,81699,9.63,14.93
36047022100,85178,2.08,3.38
36047022200,81699,8.05,13.26
36047022400,81699,8.47,13.01
36047022600,82785,11.52,13.63
