GEOID,TCoL_2021,TCoL_2023,TCoL_mapping
36061000201,130802,151723,S_Manhattan
36061000600,130802,151723,S_Manhattan
36061001401,130802,151723,S_Manhattan
36061001402,130802,151723,S_Manhattan
36061001800,130802,151723,S_Manhattan
36061002201,130802,151723,S_Manhattan
36061002601,130802,151723,S_Manhattan
36061002602,130802,151723,S_Manhattan
36061002800,130802,151723,S_Manhattan
36061003100,130802,151723,S_Manhattan
36061003200,130802,151723,S_Manhattan
36061003300,130802,151723,S_Manhattan
36061003400,130802,151723,S_Manhattan
36061003601,130802,151723,S_Manhattan
36061003602,130802,151723,S_Manhattan
36061003700,130802,151723,S_Manhattan
36061003900,130802,151723,S_Manhattan
36061004001,130802,151723,S_Manhattan
36061004002,130802,151723,S_Manhattan
36061004100,130802,151723,S_Manhattan
36061004300,130802,151723,S_Manhattan
36061004500,130802,151723,S_Manhattan
36061005200,130802,151723,S_Manhattan
36061005400,130802,151723,S_Manhattan
36061005501,130802,151723,S_Manhattan
36061005502,130802,151723,S_Manhattan
36061005800,130802,151723,S_Manhattan
36061006300,130802,151723,S_Manhattan
36061006500,130802,151723,S_Manhattan
36061006700,130802,151723,S_Manhattan
36061006800,130802,151723,S_Manhattan
36061006900,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007100,130802,151723,S_Manhattan
36061007200,130802,151723,S_Manhattan
36061007300,130802,151723,S_Manhattan
36061007500,130802,151723,S_Manhattan
36061007600,130802,151723,S_Manhattan
36061007700,130802,151723,S_Manhattan
36061007800,130802,151723,S_Manhattan
36061008000,130802,151723,S_Manhattan
36061008100,130802,151723,S_Manhattan
36061008200,130802,151723,S_Manhattan
36061008300,130802,151723,S_Manhattan
36061008400,130802,151723,S_Manhattan
36061008700,130802,151723,S_Manhattan
36061008900,130802,151723,S_Manhattan
36061009100,130802,151723,S_Manhattan
36061009200,130802,151723,S_Manhattan
36061009300,130802,151723,S_Manhattan
36061009400,130802,151723,S_Manhattan
36061009500,130802,151723,S_Manhattan
36061009600,130802,151723,S_Manhattan
36061009700,130802,151723,S_Manhattan
36061009800,130802,151723,S_Manhattan
36061009902,130802,151723,S_Manhattan
36061009903,130802,151723,S_Manhattan
36061010000,130802,151723,S_Manhattan
36061010100,130802,151723,S_Manhattan
36061010200,130802,151723,S_Manhattan
36061010300,130802,151723,S_Manhattan
36061010400,130802,151723,S_Manhattan
36061010801,130802,151723,S_Manhattan
36061010802,130802,151723,S_Manhattan
36061010803,130802,151723,S_Manhattan
36061010900,130802,151723,S_Manhattan
36061011100,130802,151723,S_Manhattan
36061011201,130802,151723,S_Manhattan
36061011202,130802,151723,S_Manhattan
36061011203,130802,151723,S_Manhattan
36061011300,130802,151723,S_Manhattan
36061011402,130802,151723,S_Manhattan
36061011800,130802,151723,S_Manhattan
36061011900,130802,151723,S_Manhattan
36061012000,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012101,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012102,130802,151723,S_Manhattan
36061012200,130802,151723,S_Manhattan
36061012500,130802,151723,S_Manhattan
36061012601,130802,151723,S_Manhattan
36061012602,130802,151723,S_Manhattan
36061012700,130802,151723,S_Manhattan
36061013000,130802,151723,S_Manhattan
36061013100,130802,151723,S_Manhattan
36061013201,130802,151723,S_Manhattan
36061013202,130802,151723,S_Manhattan
36061013300,130802,151723,S_Manhattan
36061013601,130802,151723,S_Manhattan
36061013602,130802,151723,S_Manhattan
36061014801,130802,151723,S_Manhattan
36061014900,130802,151723,S_Manhattan
36061015001,130802,151723,S_Manhattan
36061015002,130802,151723,S_Manhattan
36061015101,130802,151723,S_Manhattan
36061015301,130802,151723,S_Manhattan
36061015302,130802,151723,S_Manhattan
36061015401,130802,151723,S_Manhattan
36061015402,130802,151723,S_Manhattan
36061015403,130802,151723,S_Manhattan
36061015501,130802,151723,S_Manhattan
36061015601,130802,151723,S_Manhattan
36061015602,91898,123688,N_Manhattan
36061015700,130802,151723,S_Manhattan
36061015801,130802,151723,S_Manhattan
36061015802,91898,123688,N_Manhattan
36061016001,130802,151723,S_Manhattan
36061016002,91898,123688,N_Manhattan
36061016100,130802,151723,S_Manhattan
36061016200,91898,123688,N_Manhattan
36061016400,91898,123688,N_Manhattan
36061016500,130802,151723,S_Manhattan
36061016600,91898,123688,N_Manhattan
36061016900,130802,151723,S_Manhattan
36061017000,91898,123688,N_Manhattan
36061017100,130802,151723,S_Manhattan
36061017200,91898,123688,N_Manhattan
36061017300,130802,151723,S_Manhattan
36061017401,91898,123688,N_Manhattan
36061017402,91898,123688,N_Manhattan
36061017500,130802,151723,S_Manhattan
36061017700,130802,151723,S_Manhattan
36061018000,91898,123688,N_Manhattan
36061018100,130802,151723,S_Manhattan
36061018400,91898,123688,N_Manhattan
36061018600,91898,123688,N_Manhattan
36061018700,130802,151723,S_Manhattan
36061019200,91898,123688,N_Manhattan
36061019300,130802,151723,S_Manhattan
36061019400,91898,123688,N_Manhattan
36061019500,130802,151723,S_Manhattan
36061019600,91898,123688,N_Manhattan
36061019702,91898,123688,N_Manhattan
36061019900,91898,123688,N_Manhattan
36061020500,91898,123688,N_Manhattan
36061020600,91898,123688,N_Manhattan
36061020701,91898,123688,N_Manhattan
36061020800,91898,123688,N_Manhattan
36061021100,91898,123688,N_Manhattan
36061021303,91898,123688,N_Manhattan
36061021500,91898,123688,N_Manhattan
36061021600,91898,123688,N_Manhattan
36061021703,91898,123688,N_Manhattan
36061021800,91898,123688,N_Manhattan
36061022000,91898,123688,N_Manhattan
36061022102,91898,123688,N_Manhattan
36061022200,91898,123688,N_Manhattan
36061022301,91898,123688,N_Manhattan
36061022400,91898,123688,N_Manhattan
36061022500,91898,123688,N_Manhattan
36061022600,91898,123688,N_Manhattan
36061022800,91898,123688,N_Manhattan
36061023100,91898,123688,N_Manhattan
36061023400,91898,123688,N_Manhattan
36061023502,91898,123688,N_Manhattan
36061024100,91898,123688,N_Manhattan
36061024200,91898,123688,N_Manhattan
36061024301,91898,123688,N_Manhattan
36061024700,91898,123688,N_Manhattan
36061024900,91898,123688,N_Manhattan
36061025100,91898,123688,N_Manhattan
36061025500,91898,123688,N_Manhattan
36061026500,91898,123688,N_Manhattan
36061026700,91898,123688,N_Manhattan
36061026900,91898,123688,N_Manhattan
36061027100,91898,123688,N_Manhattan
36061028100,91898,123688,N_Manhattan
36061029300,91898,123688,N_Manhattan
36061029500,91898,123688,N_Manhattan
36061030900,91898,123688,N_Manhattan
36005000100,85507,107246,Bronx
36005000200,85507,107246,Bronx
36005001600,85507,107246,Bronx
36005001904,85507,107246,Bronx
36005002002,85507,107246,Bronx
36005002300,85507,107246,Bronx
36005002500,85507,107246,Bronx
36005002701,85507,107246,Bronx
36005002702,85507,107246,Bronx
36005003800,85507,107246,Bronx
36005003900,85507,107246,Bronx
36005004001,85507,107246,Bronx
36005004200,85507,107246,Bronx
36005004400,85507,107246,Bronx
36005004600,85507,107246,Bronx
36005004800,85507,107246,Bronx
36005005001,85507,107246,Bronx
36005005002,85507,107246,Bronx
36005005400,85507,107246,Bronx
36005006302,85507,107246,Bronx
36005006400,85507,107246,Bronx
36005006500,85507,107246,Bronx
36005006800,85507,107246,Bronx
36005007000,85507,107246,Bronx
36005007200,85507,107246,Bronx
36005007400,85507,107246,Bronx
36005007600,85507,107246,Bronx
36005007800,85507,107246,Bronx
36005007900,85507,107246,Bronx
36005008300,85507,107246,Bronx
36005008400,85507,107246,Bronx
36005008500,85507,107246,Bronx
36005008600,85507,107246,Bronx
36005008700,85507,107246,Bronx
36005009200,85507,107246,Bronx
36005009600,85507,107246,Bronx
36005011701,85507,107246,Bronx
36005011702,85507,107246,Bronx
36005011900,85507,107246,Bronx
36005012101,85507,107246,Bronx
36005012101,85507,107246,Bronx
36005012102,85507,107246,Bronx
36005012500,85507,107246,Bronx
36005012901,85507,107246,Bronx
36005013000,85507,107246,Bronx
36005013100,85507,107246,Bronx
36005013200,85507,107246,Bronx
36005013300,85507,107246,Bronx
36005013500,85507,107246,Bronx
36005014400,85507,107246,Bronx
36005014900,85507,107246,Bronx
36005015100,85507,107246,Bronx
36005015200,85507,107246,Bronx
36005015300,85507,107246,Bronx
36005015800,85507,107246,Bronx
36005016000,85507,107246,Bronx
36005016200,85507,107246,Bronx
36005016300,85507,107246,Bronx
36005016400,85507,107246,Bronx
36005017100,85507,107246,Bronx
36005017500,85507,107246,Bronx
36005017701,85507,107246,Bronx
36005017702,85507,107246,Bronx
36005017901,85507,107246,Bronx
36005017902,85507,107246,Bronx
36005018101,85507,107246,Bronx
36005018102,85507,107246,Bronx
36005018302,85507,107246,Bronx
36005018400,85507,107246,Bronx
36005018900,85507,107246,Bronx
36005019700,85507,107246,Bronx
36005019900,85507,107246,Bronx
36005020200,85507,107246,Bronx
36005020400,85507,107246,Bronx
36005020601,85507,107246,Bronx
36005020900,85507,107246,Bronx
36005021002,85507,107246,Bronx
36005021100,85507,107246,Bronx
36005021301,85507,107246,Bronx
36005021302,85507,107246,Bronx
36005021501,85507,107246,Bronx
36005021502,85507,107246,Bronx
36005021700,85507,107246,Bronx
36005021800,85507,107246,Bronx
36005021900,85507,107246,Bronx
36005022101,85507,107246,Bronx
36005022102,85507,107246,Bronx
36005022300,85507,107246,Bronx
36005022403,85507,107246,Bronx
36005022404,85507,107246,Bronx
36005022500,85507,107246,Bronx
36005022701,85507,107246,Bronx
36005022702,85507,107246,Bronx
36005022703,85507,107246,Bronx
36005022800,85507,107246,Bronx
36005022901,85507,107246,Bronx
36005022902,85507,107246,Bronx
36005023100,85507,107246,Bronx
36005023200,85507,107246,Bronx
36005023301,85507,107246,Bronx
36005023302,85507,107246,Bronx
36005023600,85507,107246,Bronx
36005023704,85507,107246,Bronx
36005023900,85507,107246,Bronx
36005024100,85507,107246,Bronx
36005024300,85507,107246,Bronx
36005024400,85507,107246,Bronx
36005024501,85507,107246,Bronx
36005024502,85507,107246,Bronx
36005024600,85507,107246,Bronx
36005024800,85507,107246,Bronx
36005024900,85507,107246,Bronx
36005025000,85507,107246,Bronx
36005025100,85507,107246,Bronx
36005025200,85507,107246,Bronx
36005025300,85507,107246,Bronx
36005025400,85507,107246,Bronx
36005025500,85507,107246,Bronx
36005026100,85507,107246,Bronx
36005026300,85507,107246,Bronx
36005026400,85507,107246,Bronx
36005026500,85507,107246,Bronx
36005026601,85507,107246,Bronx
36005026602,85507,107246,Bronx
36005026701,91898,123688,N_Manhattan
36005026702,91898,123688,N_Manhattan
36005027300,91898,123688,N_Manhattan
36005027700,91898,123688,N_Manhattan
36005027900,91898,123688,N_Manhattan
36005028100,91898,123688,N_Manhattan
36005028600,85507,107246,Bronx
36005028700,91898,123688,N_Manhattan
36005028800,85507,107246,Bronx
36005028900,91898,123688,N_Manhattan
36005029500,91898,123688,N_Manhattan
36005029600,85507,107246,Bronx
36005030000,85507,107246,Bronx
36005030100,91898,123688,N_Manhattan
36005030201,85507,107246,Bronx
36005030701,91898,123688,N_Manhattan
36005030900,91898,123688,N_Manhattan
36005031000,85507,107246,Bronx
36005031200,85507,107246,Bronx
36005031400,85507,107246,Bronx
36005031600,85507,107246,Bronx
36005031800,85507,107246,Bronx
36005031900,91898,123688,N_Manhattan
36005032300,91898,123688,N_Manhattan
36005032400,85507,107246,Bronx
36005032600,85507,107246,Bronx
36005032800,85507,107246,Bronx
36005033000,85507,107246,Bronx
36005033201,85507,107246,Bronx
36005033202,85507,107246,Bronx
36005033601,85507,107246,Bronx
36005033602,85507,107246,Bronx
36005033801,85507,107246,Bronx
36005033802,85507,107246,Bronx
36005034000,85507,107246,Bronx
36005034200,85507,107246,Bronx
36005034300,91898,123688,N_Manhattan
36005034400,85507,107246,Bronx
36005034800,85507,107246,Bronx
36005035600,85507,107246,Bronx
36005035900,85507,107246,Bronx
36005036000,85507,107246,Bronx
36005036300,85507,107246,Bronx
36005036400,85507,107246,Bronx
36005036501,85507,107246,Bronx
36005036800,85507,107246,Bronx
36005036901,85507,107246,Bronx
36005036902,85507,107246,Bronx
36005037000,85507,107246,Bronx
36005037100,85507,107246,Bronx
36005037200,85507,107246,Bronx
36005037300,85507,107246,Bronx
36005037400,85507,107246,Bronx
36005037504,85507,107246,Bronx
36005037900,85507,107246,Bronx
36005038000,85507,107246,Bronx
36005038100,85507,107246,Bronx
36005038200,85507,107246,Bronx
36005038301,85507,107246,Bronx
36005038303,85507,107246,Bronx
36005038600,85507,107246,Bronx
36005038700,85507,107246,Bronx
36005038800,85507,107246,Bronx
36005039000,85507,107246,Bronx
36005039100,85507,107246,Bronx
36005039200,85507,107246,Bronx
36005039400,85507,107246,Bronx
36005039600,85507,107246,Bronx
36005039800,85507,107246,Bronx
36005040302,85507,107246,Bronx
36005040303,85507,107246,Bronx
36005040304,85507,107246,Bronx
36005040400,85507,107246,Bronx
36005040501,85507,107246,Bronx
36005040502,85507,107246,Bronx
36005040600,85507,107246,Bronx
36005040701,85507,107246,Bronx
36005040702,85507,107246,Bronx
36005040800,85507,107246,Bronx
36005040900,85507,107246,Bronx
36005041500,85507,107246,Bronx
36005041900,85507,107246,Bronx
36005042000,85507,107246,Bronx
36005042100,85507,107246,Bronx
36005042200,85507,107246,Bronx
36005042300,85507,107246,Bronx
36005042400,85507,107246,Bronx
36005042800,85507,107246,Bronx
36005042902,85507,107246,Bronx
36005043000,85507,107246,Bronx
36005043101,85507,107246,Bronx
36005043400,85507,107246,Bronx
36005043600,85507,107246,Bronx
36005044200,85507,107246,Bronx
36005044400,85507,107246,Bronx
36005044800,85507,107246,Bronx
36005044901,85507,107246,Bronx
36005044902,85507,107246,Bronx
36005045102,85507,107246,Bronx
36005045600,85507,107246,Bronx
36005045800,85507,107246,Bronx
36005046000,85507,107246,Bronx
36005046203,85507,107246,Bronx
36005046204,85507,107246,Bronx
36005046206,85507,107246,Bronx
36005046207,85507,107246,Bronx
36005046208,85507,107246,Bronx
36005046209,85507,107246,Bronx
36005048401,85507,107246,Bronx
36005048402,85507,107246,Bronx
36005050400,85507,107246,Bronx
36005051601,85507,107246,Bronx
36005051602,85507,107246,Bronx
36081000200,92275,115496,Queens
36081000400,92275,115496,Queens
36081000600,92275,115496,Queens
36081000702,92275,115496,Queens
36081000800,92275,115496,Queens
36081001000,92275,115496,Queens
36081001200,92275,115496,Queens
36081001400,92275,115496,Queens
36081001600,92275,115496,Queens
36081002200,92275,115496,Queens
36081002400,92275,115496,Queens
36081002600,92275,115496,Queens
36081002800,92275,115496,Queens
36081003000,92275,115496,Queens
36081003100,92275,115496,Queens
36081003200,92275,115496,Queens
36081003302,92275,115496,Queens
36081003400,92275,115496,Queens
36081003800,92275,115496,Queens
36081004001,92275,115496,Queens
36081004002,92275,115496,Queens
36081004200,92275,115496,Queens
36081004300,92275,115496,Queens
36081004500,92275,115496,Queens
36081004700,92275,115496,Queens
36081005000,92275,115496,Queens
36081005100,92275,115496,Queens
36081005200,92275,115496,Queens
36081005300,92275,115496,Queens
36081005500,92275,115496,Queens
36081005700,92275,115496,Queens
36081006300,92275,115496,Queens
36081006501,92275,115496,Queens
36081006502,92275,115496,Queens
36081006900,92275,115496,Queens
36081007100,92275,115496,Queens
36081007300,92275,115496,Queens
36081007500,92275,115496,Queens
36081007700,92275,115496,Queens
36081007900,92275,115496,Queens
36081008100,92275,115496,Queens
36081008300,92275,115496,Queens
36081008500,92275,115496,Queens
36081009400,92275,115496,Queens
36081009500,92275,115496,Queens
36081009600,92275,115496,Queens
36081009700,92275,115496,Queens
36081009800,92275,115496,Queens
36081009900,92275,115496,Queens
36081010000,92275,115496,Queens
36081010100,92275,115496,Queens
36081010200,92275,115496,Queens
36081010300,92275,115496,Queens
36081010400,92275,115496,Queens
36081010500,92275,115496,Queens
36081010800,92275,115496,Queens
36081011000,92275,115496,Queens
36081011100,92275,115496,Queens
36081011200,92275,115496,Queens
36081011300,92275,115496,Queens
36081011400,92275,115496,Queens
36081011500,92275,115496,Queens
36081011600,92275,115496,Queens
36081011700,92275,115496,Queens
36081011800,92275,115496,Queens
36081011900,92275,115496,Queens
36081012000,92275,115496,Queens
36081012100,92275,115496,Queens
36081012200,92275,115496,Queens
36081012400,92275,115496,Queens
36081012601,92275,115496,Queens
36081012602,92275,115496,Queens
36081012800,92275,115496,Queens
36081013200,92275,115496,Queens
36081013400,92275,115496,Queens
36081013500,92275,115496,Queens
36081013800,92275,115496,Queens
36081014000,92275,115496,Queens
36081014201,92275,115496,Queens
36081014202,92275,115496,Queens
36081014300,92275,115496,Queens
36081014400,92275,115496,Queens
36081014500,92275,115496,Queens
36081014700,92275,115496,Queens
36081014800,92275,115496,Queens
36081014900,92275,115496,Queens
36081015000,92275,115496,Queens
36081015100,92275,115496,Queens
36081015200,92275,115496,Queens
36081015300,92275,115496,Queens
36081015400,92275,115496,Queens
36081015600,92275,115496,Queens
36081015700,92275,115496,Queens
36081015801,92275,115496,Queens
36081015802,92275,115496,Queens
36081016100,92275,115496,Queens
36081016300,92275,115496,Queens
36081016400,92275,115496,Queens
36081016800,92275,115496,Queens
36081016900,92275,115496,Queens
36081017000,92275,115496,Queens
36081017200,92275,115496,Queens
36081017400,92275,115496,Queens
36081017600,92275,115496,Queens
36081017800,92275,115496,Queens
36081017901,92275,115496,Queens
36081017902,92275,115496,Queens
36081018000,92275,115496,Queens
36081018101,92275,115496,Queens
36081018102,92275,115496,Queens
36081018200,92275,115496,Queens
36081018300,92275,115496,Queens
36081018401,92275,115496,Queens
36081018402,92275,115496,Queens
36081018501,92275,115496,Queens
36081018502,92275,115496,Queens
36081018600,92275,115496,Queens
36081018700,92275,115496,Queens
36081018800,92275,115496,Queens
36081018900,92275,115496,Queens
36081019000,92275,115496,Queens
36081019200,92275,115496,Queens
36081019400,92275,115496,Queens
36081019600,92275,115496,Queens
36081019800,92275,115496,Queens
36081019901,92275,115496,Queens
36081019902,92275,115496,Queens
36081019903,92275,115496,Queens
36081020200,92275,115496,Queens
36081020400,92275,115496,Queens
36081020500,92275,115496,Queens
36081020600,92275,115496,Queens
36081020800,92275,115496,Queens
36081021200,92275,115496,Queens
36081021400,92275,115496,Queens
36081021602,92275,115496,Queens
36081021603,92275,115496,Queens
36081022001,92275,115496,Queens
36081022002,92275,115496,Queens
36081023000,92275,115496,Queens
36081023200,92275,115496,Queens
36081023501,92275,115496,Queens
36081023502,92275,115496,Queens
36081023600,92275,115496,Queens
36081023800,92275,115496,Queens
36081024000,92275,115496,Queens
36081024600,92275,115496,Queens
36081025100,92275,115496,Queens
36081025301,92275,115496,Queens
36081025302,92275,115496,Queens
36081025401,92275,115496,Queens
36081025402,92275,115496,Queens
36081025500,92275,115496,Queens
36081025700,92275,115496,Queens
36081025800,92275,115496,Queens
36081025900,92275,115496,Queens
36081026000,92275,115496,Queens
36081026200,92275,115496,Queens
36081026400,92275,115496,Queens
36081026600,92275,115496,Queens
36081026700,92275,115496,Queens
36081026901,92275,115496,Queens
36081026902,92275,115496,Queens
36081027000,92275,115496,Queens
36081027101,92275,115496,Queens
36081027102,92275,115496,Queens
36081027200,92275,115496,Queens
36081027301,92275,115496,Queens
36081027302,92275,115496,Queens
36081027400,92275,115496,Queens
36081027500,92275,115496,Queens
36081027600,92275,115496,Queens
36081027701,92275,115496,Queens
36081027702,92275,115496,Queens
36081027800,92275,115496,Queens
36081027900,92275,115496,Queens
36081028000,92275,115496,Queens
36081028100,92275,115496,Queens
36081028200,92275,115496,Queens
36081028300,92275,115496,Queens
36081028400,92275,115496,Queens
36081028500,92275,115496,Queens
36081028700,92275,115496,Queens
36081028801,92275,115496,Queens
36081028802,92275,115496,Queens
36081028900,92275,115496,Queens
36081029500,92275,115496,Queens
36081030903,92275,115496,Queens
36081032700,92275,115496,Queens
36081032800,92275,115496,Queens
36081033000,92275,115496,Queens
36081033401,92275,115496,Queens
36081033403,92275,115496,Queens
36081033404,92275,115496,Queens
36081033405,92275,115496,Queens
36081033700,92275,115496,Queens
36081033900,92275,115496,Queens
36081035100,92275,115496,Queens
36081035200,92275,115496,Queens
36081035300,92275,115496,Queens
36081035800,92275,115496,Queens
36081036100,92275,115496,Queens
36081036300,92275,115496,Queens
36081036500,92275,115496,Queens
36081036600,92275,115496,Queens
36081036700,92275,115496,Queens
36081036800,92275,115496,Queens
36081037300,92275,115496,Queens
36081037501,92275,115496,Queens
36081037502,92275,115496,Queens
36081037600,92275,115496,Queens
36081037700,92275,115496,Queens
36081037900,92275,115496,Queens
36081038301,92275,115496,Queens
36081038400,92275,115496,Queens
36081039400,92275,115496,Queens
36081039800,92275,115496,Queens
36081039901,92275,115496,Queens
36081039902,92275,115496,Queens
36081040000,92275,115496,Queens
36081040101,92275,115496,Queens
36081040102,92275,115496,Queens
36081040200,92275,115496,Queens
36081040301,92275,115496,Queens
36081040302,92275,115496,Queens
36081040400,92275,115496,Queens
36081040501,92275,115496,Queens
36081040502,92275,115496,Queens
36081040701,92275,115496,Queens
36081040702,92275,115496,Queens
36081040901,92275,115496,Queens
36081040902,92275,115496,Queens
36081041100,92275,115496,Queens
36081041300,92275,115496,Queens
36081041400,92275,115496,Queens
36081041500,92275,115496,Queens
36081042700,92275,115496,Queens
36081043701,92275,115496,Queens
36081043702,92275,115496,Queens
36081043900,92275,115496,Queens
36081044000,92275,115496,Queens
36081044301,92275,115496,Queens
36081044302,92275,115496,Queens
36081044400,92275,115496,Queens
36081044601,92275,115496,Queens
36081044602,92275,115496,Queens
36081044800,92275,115496,Queens
36081045000,92275,115496,Queens
36081045600,92275,115496,Queens
36081045700,92275,115496,Queens
36081045900,92275,115496,Queens
36081046000,92275,115496,Queens
36081046100,92275,115496,Queens
36081046400,92275,115496,Queens
36081046500,92275,115496,Queens
36081046700,92275,115496,Queens
36081046800,92275,115496,Queens
36081046901,92275,115496,Queens
36081046902,92275,115496,Queens
36081047000,92275,115496,Queens
36081047200,92275,115496,Queens
36081047300,92275,115496,Queens
36081047801,92275,115496,Queens
36081047802,92275,115496,Queens
36081048000,92275,115496,Queens
36081048100,92275,115496,Queens
36081048200,92275,115496,Queens
36081048400,92275,115496,Queens
36081049201,92275,115496,Queens
36081049202,92275,115496,Queens
36081049301,92275,115496,Queens
36081049302,92275,115496,Queens
36081049500,92275,115496,Queens
36081049600,92275,115496,Queens
36081049700,92275,115496,Queens
36081050000,92275,115496,Queens
36081050201,92275,115496,Queens
36081050202,92275,115496,Queens
36081050400,92275,115496,Queens
36081050500,92275,115496,Queens
36081050600,92275,115496,Queens
36081050800,92275,115496,Queens
36081051000,92275,115496,Queens
36081051200,92275,115496,Queens
36081051300,92275,115496,Queens
36081051600,92275,115496,Queens
36081051700,92275,115496,Queens
36081051800,92275,115496,Queens
36081052000,92275,115496,Queens
36081052100,92275,115496,Queens
36081052200,92275,115496,Queens
36081052400,92275,115496,Queens
36081052600,92275,115496,Queens
36081052800,92275,115496,Queens
36081053000,92275,115496,Queens
36081053100,92275,115496,Queens
36081053200,92275,115496,Queens
36081053401,92275,115496,Queens
36081053601,92275,115496,Queens
36081053800,92275,115496,Queens
36081053901,92275,115496,Queens
36081053902,92275,115496,Queens
36081054000,92275,115496,Queens
36081054200,92275,115496,Queens
36081054500,92275,115496,Queens
36081054700,92275,115496,Queens
36081054800,92275,115496,Queens
36081054900,92275,115496,Queens
36081055100,92275,115496,Queens
36081055200,92275,115496,Queens
36081055300,92275,115496,Queens
36081055400,92275,115496,Queens
36081055500,92275,115496,Queens
36081055600,92275,115496,Queens
36081055700,92275,115496,Queens
36081055800,92275,115496,Queens
36081055900,92275,115496,Queens
36081056100,92275,115496,Queens
36081056200,92275,115496,Queens
36081056500,92275,115496,Queens
36081056600,92275,115496,Queens
36081056700,92275,115496,Queens
36081057700,92275,115496,Queens
36081057900,92275,115496,Queens
36081058200,92275,115496,Queens
36081058500,92275,115496,Queens
36081058700,92275,115496,Queens
36081058900,92275,115496,Queens
36081059000,92275,115496,Queens
36081059100,92275,115496,Queens
36081059300,92275,115496,Queens
36081059400,92275,115496,Queens
36081059501,92275,115496,Queens
36081059600,92275,115496,Queens
36081059800,92275,115496,Queens
36081059900,92275,115496,Queens
36081060000,92275,115496,Queens
36081060600,92275,115496,Queens
36081060800,92275,115496,Queens
36081061000,92275,115496,Queens
36081061200,92275,115496,Queens
36081061302,92275,115496,Queens
36081061400,92275,115496,Queens
36081061601,92275,115496,Queens
36081061602,92275,115496,Queens
36081061800,92275,115496,Queens
36081061900,92275,115496,Queens
36081062300,92275,115496,Queens
36081062500,92275,115496,Queens
36081062600,92275,115496,Queens
36081062700,92275,115496,Queens
36081062900,92275,115496,Queens
36081063200,92275,115496,Queens
36081063301,92275,115496,Queens
36081064101,92275,115496,Queens
36081064500,92275,115496,Queens
36081064600,92275,115496,Queens
36081065000,92275,115496,Queens
